content_key,show_id,type,title,release_year,date_added,year_added,month_added,country,primary_country,language,popularity,vote_average,vote_count,has_valid_votes,weighted_rating,genres_harmonized,genre
movies_10192,10192,Movie,Shrek Forever After,2010,2010-05-16,2010,5,United States of America,United States of America,en,203.893,6.38,7449,True,6.39,"Comedy, Adventure, Fantasy, Animation, Family",Comedy
movies_10192,10192,Movie,Shrek Forever After,2010,2010-05-16,2010,5,United States of America,United States of America,en,203.893,6.38,7449,True,6.39,"Comedy, Adventure, Fantasy, Animation, Family",Adventure
movies_10192,10192,Movie,Shrek Forever After,2010,2010-05-16,2010,5,United States of America,United States of America,en,203.893,6.38,7449,True,6.39,"Comedy, Adventure, Fantasy, Animation, Family",Fantasy
movies_10192,10192,Movie,Shrek Forever After,2010,2010-05-16,2010,5,United States of America,United States of America,en,203.893,6.38,7449,True,6.39,"Comedy, Adventure, Fantasy, Animation, Family",Animation
movies_10192,10192,Movie,Shrek Forever After,2010,2010-05-16,2010,5,United States of America,United States of America,en,203.893,6.38,7449,True,6.39,"Comedy, Adventure, Fantasy, Animation, Family",Family
movies_27205,27205,Movie,Inception,2010,2010-07-15,2010,7,"United Kingdom, United States of America",United Kingdom,en,156.242,8.369,37119,True,8.36,"Action, Science Fiction, Adventure",Action
movies_27205,27205,Movie,Inception,2010,2010-07-15,2010,7,"United Kingdom, United States of America",United Kingdom,en,156.242,8.369,37119,True,8.36,"Action, Science Fiction, Adventure",Science Fiction
movies_27205,27205,Movie,Inception,2010,2010-07-15,2010,7,"United Kingdom, United States of America",United Kingdom,en,156.242,8.369,37119,True,8.36,"Action, Science Fiction, Adventure",Adventure
movies_12444,12444,Movie,Harry Potter and the Deathly Hallows: Part 1,2010,2010-11-17,2010,11,"United Kingdom, United States of America",United Kingdom,en,121.191,7.744,19327,True,7.73,"Adventure, Fantasy",Adventure
movies_12444,12444,Movie,Harry Potter and the Deathly Hallows: Part 1,2010,2010-11-17,2010,11,"United Kingdom, United States of America",United Kingdom,en,121.191,7.744,19327,True,7.73,"Adventure, Fantasy",Fantasy
movies_38757,38757,Movie,Tangled,2010,2010-11-24,2010,11,United States of America,United States of America,en,111.762,7.6,11638,True,7.58,"Animation, Family, Adventure",Animation
movies_38757,38757,Movie,Tangled,2010,2010-11-24,2010,11,United States of America,United States of America,en,111.762,7.6,11638,True,7.58,"Animation, Family, Adventure",Family
movies_38757,38757,Movie,Tangled,2010,2010-11-24,2010,11,United States of America,United States of America,en,111.762,7.6,11638,True,7.58,"Animation, Family, Adventure",Adventure
movies_10191,10191,Movie,How to Train Your Dragon,2010,2010-03-18,2010,3,United States of America,United States of America,en,110.044,7.8,13259,True,7.78,"Fantasy, Adventure, Animation, Family",Fantasy
movies_10191,10191,Movie,How to Train Your Dragon,2010,2010-03-18,2010,3,United States of America,United States of America,en,110.044,7.8,13259,True,7.78,"Fantasy, Adventure, Animation, Family",Adventure
movies_10191,10191,Movie,How to Train Your Dragon,2010,2010-03-18,2010,3,United States of America,United States of America,en,110.044,7.8,13259,True,7.78,"Fantasy, Adventure, Animation, Family",Animation
movies_10191,10191,Movie,How to Train Your Dragon,2010,2010-03-18,2010,3,United States of America,United States of America,en,110.044,7.8,13259,True,7.78,"Fantasy, Adventure, Animation, Family",Family
movies_11324,11324,Movie,Shutter Island,2010,2010-02-14,2010,2,United States of America,United States of America,en,101.551,8.2,24282,True,8.19,"Drama, Thriller, Mystery",Drama
movies_11324,11324,Movie,Shutter Island,2010,2010-02-14,2010,2,United States of America,United States of America,en,101.551,8.2,24282,True,8.19,"Drama, Thriller, Mystery",Thriller
movies_11324,11324,Movie,Shutter Island,2010,2010-02-14,2010,2,United States of America,United States of America,en,101.551,8.2,24282,True,8.19,"Drama, Thriller, Mystery",Mystery
movies_38575,38575,Movie,The Karate Kid,2010,2010-06-10,2010,6,"China, Hong Kong, United States of America",China,en,96.385,6.5,6082,True,6.5,"Action, Adventure, Drama, Family",Action
movies_38575,38575,Movie,The Karate Kid,2010,2010-06-10,2010,6,"China, Hong Kong, United States of America",China,en,96.385,6.5,6082,True,6.5,"Action, Adventure, Drama, Family",Adventure
movies_38575,38575,Movie,The Karate Kid,2010,2010-06-10,2010,6,"China, Hong Kong, United States of America",China,en,96.385,6.5,6082,True,6.5,"Action, Adventure, Drama, Family",Drama
movies_38575,38575,Movie,The Karate Kid,2010,2010-06-10,2010,6,"China, Hong Kong, United States of America",China,en,96.385,6.5,6082,True,6.5,"Action, Adventure, Drama, Family",Family
movies_10138,10138,Movie,Iron Man 2,2010,2010-04-28,2010,4,United States of America,United States of America,en,95.255,6.8,21222,True,6.8,"Adventure, Action, Science Fiction",Adventure
movies_10138,10138,Movie,Iron Man 2,2010,2010-04-28,2010,4,United States of America,United States of America,en,95.255,6.8,21222,True,6.8,"Adventure, Action, Science Fiction",Action
movies_10138,10138,Movie,Iron Man 2,2010,2010-04-28,2010,4,United States of America,United States of America,en,95.255,6.8,21222,True,6.8,"Adventure, Action, Science Fiction",Science Fiction
movies_38365,38365,Movie,Grown Ups,2010,2010-06-24,2010,6,United States of America,United States of America,en,93.281,6.394,6212,True,6.4,Comedy,Comedy
movies_48650,48650,Movie,Room in Rome,2010,2010-05-07,2010,5,"France, Spain",France,es,90.23,6.416,748,True,6.46,"Drama, Romance",Drama
movies_48650,48650,Movie,Room in Rome,2010,2010-05-07,2010,5,"France, Spain",France,es,90.23,6.416,748,True,6.46,"Drama, Romance",Romance
movies_20352,20352,Movie,Despicable Me,2010,2010-07-08,2010,7,United States of America,United States of America,en,86.361,7.2,15258,True,7.19,"Animation, Family, Comedy",Animation
movies_20352,20352,Movie,Despicable Me,2010,2010-07-08,2010,7,United States of America,United States of America,en,86.361,7.2,15258,True,7.19,"Animation, Family, Comedy",Family
movies_20352,20352,Movie,Despicable Me,2010,2010-07-08,2010,7,United States of America,United States of America,en,86.361,7.2,15258,True,7.19,"Animation, Family, Comedy",Comedy
movies_10193,10193,Movie,Toy Story 3,2010,2010-06-16,2010,6,United States of America,United States of America,en,83.097,7.8,14847,True,7.79,"Animation, Family, Comedy",Animation
movies_10193,10193,Movie,Toy Story 3,2010,2010-06-16,2010,6,United States of America,United States of America,en,83.097,7.8,14847,True,7.79,"Animation, Family, Comedy",Family
movies_10193,10193,Movie,Toy Story 3,2010,2010-06-16,2010,6,United States of America,United States of America,en,83.097,7.8,14847,True,7.79,"Animation, Family, Comedy",Comedy
movies_24021,24021,Movie,The Twilight Saga: Eclipse,2010,2010-06-23,2010,6,United States of America,United States of America,en,81.8,6.204,8829,True,6.21,"Adventure, Fantasy, Drama, Romance",Adventure
movies_24021,24021,Movie,The Twilight Saga: Eclipse,2010,2010-06-23,2010,6,United States of America,United States of America,en,81.8,6.204,8829,True,6.21,"Adventure, Fantasy, Drama, Romance",Fantasy
movies_24021,24021,Movie,The Twilight Saga: Eclipse,2010,2010-06-23,2010,6,United States of America,United States of America,en,81.8,6.204,8829,True,6.21,"Adventure, Fantasy, Drama, Romance",Drama
movies_24021,24021,Movie,The Twilight Saga: Eclipse,2010,2010-06-23,2010,6,United States of America,United States of America,en,81.8,6.204,8829,True,6.21,"Adventure, Fantasy, Drama, Romance",Romance
movies_12155,12155,Movie,Alice in Wonderland,2010,2010-03-03,2010,3,United States of America,United States of America,en,80.326,6.6,14114,True,6.6,"Family, Fantasy, Adventure",Family
movies_12155,12155,Movie,Alice in Wonderland,2010,2010-03-03,2010,3,United States of America,United States of America,en,80.326,6.6,14114,True,6.6,"Family, Fantasy, Adventure",Fantasy
movies_12155,12155,Movie,Alice in Wonderland,2010,2010-03-03,2010,3,United States of America,United States of America,en,80.326,6.6,14114,True,6.6,"Family, Fantasy, Adventure",Adventure
movies_73861,73861,Movie,A Serbian Film,2010,2010-06-16,2010,6,Serbia,Serbia,sr,74.238,5.471,2018,True,5.57,"Crime, Horror, Thriller",Crime
movies_73861,73861,Movie,A Serbian Film,2010,2010-06-16,2010,6,Serbia,Serbia,sr,74.238,5.471,2018,True,5.57,"Crime, Horror, Thriller",Horror
movies_73861,73861,Movie,A Serbian Film,2010,2010-06-16,2010,6,Serbia,Serbia,sr,74.238,5.471,2018,True,5.57,"Crime, Horror, Thriller",Thriller
movies_38234,38234,Movie,Undisputed III: Redemption,2010,2010-04-17,2010,4,United States of America,United States of America,en,71.837,7.517,925,True,7.37,"Action, Thriller, Crime, Drama",Action
movies_38234,38234,Movie,Undisputed III: Redemption,2010,2010-04-17,2010,4,United States of America,United States of America,en,71.837,7.517,925,True,7.37,"Action, Thriller, Crime, Drama",Thriller
